drug,condition,review,effect,rating
NORVASC,High Blood Pressure,{''},"lower legs and feet swelled so much that blood vessels burst and have left my legs with leopard spots. Left me extremely tired.
Swelling took me to emergency where they suspected blood clots.2 Weeks off drug, and swelling starting to go down. Made me sick and damaged.",1
NORVASC,high bp,{'taking amlodipine'},painful joints constantly - most noticeably knees. swelling in joints like knees and ankles. extreme fatigue. total loss of libido. lethargy.,1
NORVASC,idiopathic extreme HBP 200/120,{''},"At first chest tightness and still occasionally....now leg swelling and foot edema, knee pain can be sharp, left lower arm and hand tingling when in bed in certain positions, weight loss (for some unknown reason i dont feel hungry as much which is fantastic because i am loosing weight) i have much more energy now but if i am late or miss a dose i become lethagic no energy feel foggy in the head and in general quite ill till i take a dose again!(i wonder why that is?) Still get spikes in bp but its from stress. Feel better on this med than without it. Weight loss is the side effect for me",3
NORVASC,hbp,{''},"VERY SCARY PANIC ATTACKS, HEADACHE , FEELING DOOMED, EYE PAIN, CHEST PAIN, A PROBLEMS BREATHING , WHICH WAS MY BREAKING POINT..DONT KEEP TAKING SOMETHING THAT MAKES U FEEL ILL... QUESTION WHEN WILL SIDE EFFECTS GO AWAY",1
NORVASC,High blood pressure,{''},"Norvasc was fine until it went generic.the generic made me tired and totally unmotivated,switched back to the real stuff and feel fine.I found the same thing with generic Lipitor.Looks like you get what you pay for DAMN!!!",3
NORVASC,Hypertension,{''},"This was one of 4 garbage meds prescribed to me by a kidney doctor to control my hypertension. I felt dizzy, weak, had swelling of my ankles. I called a pharmacist and asked him of the side effects of amlodipine...there were too many! I weaned myself off of all the high blood pressure drugs, Anyone wishing to know how, please contact me. ALL PHARMACEUTICAL MEDS ARE GARBAGE!!",1
NORVASC,Coronary artery spasms,"{""When I complained to my GP, he suggested adding another anti-anxiety med. I refused and started researching. Turns out the Imitrex tablets I had for migraine are known to cause coronary artery spasm, even in people that had no history of cardiac issues. I stopped taking them immediately and just suffer through the once monthly, three day long headaches. After discussing with both my GP and cardiologist, I tapered off the Lexapro in April with no significant ill effects. In April, I also cut the amlodipine to 2.5 mg/day. Three weeks ago, I halved that and ten days ago stopped completely.\nMany have asked about what they've experienced coming off amlodipine, and few have answered. Here's what's happened to me: tension headaches (never had before, feels like scalp is tight and eyes hurt; helped by 1 Aleve and a cup of coffee every time) for the first few days. Some twitching sensations in neck and upper chest muscles close to sternum. My bp has never been problematic (100/70 is normal, on amlodipine it was 95/55 (!!)) and I am back to normal.""}","From June-November 2011, I experienced a half dozen coronary artery spasms, each of which sent me to the ER. I was put through all standard tests and more: bloodwork , EKG, MRI, lung function, checked for clots, GI issues...even checked for TB and eventually had a cardiac cath. Absolutely everything came back normal.
After the cardiac cath, my GP put me on 10 mg/day Lexapro (anti-anxiety) and my cardiologist put me on 5 mg/day generic amlodipine besylate. Anxiety, racing pulse, trouble sleeping, exhaustion, sudden and precipitous weight gain (15 lbs), inability to lose weight, difficulty exercising, tingling arms and hands, painful and blurry vision, mood swings, extremely low bp, rapid pulse, and just plain misery. That was 18 months ago.",1
NORVASC,Hypertension,"{'This is the second time I have been on this medication. Although my BP was regularly 202/115 it is now a low of 132/79 since starting the drug again. Heart rate is 100+, as high as 151 resting. Before Norvasc it my heart rate was between 60 and 75 resting. Carvedilol and propranolol do not bring my heart rate down like they used prior to Norvasc so I am thinking it is the Norvasc. Suffered vertigo last time I took this med almost 14 years ago. Memory Loss is significant again. 14 years ago I would leave work and forget where I parked my car,now that I have started this medication again memory failure has started again. Fatigue and vertigo like some here mentioned has prevented a formerly physically active life. I am now very sedentary, almost bedridden but my BP is no longer in the danger zone. What a trade off.'}","Irregular heartbeat/palpitations that cause coughing. Leg cramps and swelling of legs, vertigo, memory loss.",3
NORVASC,High blood pressure,"{""I started this along with diovan and I had minor side effects that ballooned into almost unbearable ones. The dizziness sent me to the er at least 3 times and they kept saying it was my ears then panic attacks followed .. I stopped the diovan thinking it was the problem did well for 2 days then now only on the norvasc ( generic) and I'm miserable again , I can barely function I feel like I'm going to fall over I'm unsteady on my feet headaches almost daily blurred vision no motivation or energy to do anything it controls my Bp from 140/90 to 110-120 over 75-80 .. But the trade off is my livelihood I can't go anywhere I can't do much of anything that requires to much effort. Missing tons of time off from work multiple er visits totaling in over a thousand dollars in co-pays .. I don't do anything but lay on the couch and cry because I feel so bad and when I do feel good it's short lived. This medicine is killing my spirit my relationships and my career""}",Dizziness weakness feeling faint anxiety lack of interest in everything hot flashes headaches stomach problems general sick feeling aches and pains and depression,3
NORVASC,High Blood Pressure,{''},"Almost immediately after beginning the generic form of Norvasc (Amlodipine Besylate), I began feeling an increase in anxiety and depression. It continued to worsen over the next 3 weeks until I was a hopeless mess. Everything made me want to cry. Didn't want to leave the house or see anyone. Couldn't think or do my job and every little task seemed extremely overwhelming. Anxiety level was through the roof. All I wanted to do is hide from the world and die. I stopped taking it 2 days ago. Anxiety is back down a bit. Hoping I continue to feel better. My doctor swears this drug doesn't contribute to anxiety/depression but from reading this site, it obviously does.",1
NORVASC,high blood pressure,{''},"I had been taking the lowest dose of Amlodipine (Norvasc) for about a year and my doctor bumped me up to the next dosage. I have never felt so awful in my entire life- sick, depressed, no energy, terrible pain across the top of my shoulders, red face flushes.. like I was at the black bottom of a well with no way out. I found this website and thank you, thank you, thank you all for listing the side effects. I had been having some of them on the low dose and didn't even know it. I totally stopped taking it. It has taken about a month and I feel SO SO much better! Some of these medicines are so subtle you don't realized what they are doing to you until you stop taking them. At this point I am looking for natural remedies!",1
NORVASC,High blood p,{''},"Started at 5 mg but so much stress that didn't control bp. Went to 10 mg. Had tried 1 cardura right before but that caused racing heart. I had taken generic coreg for years but it made me SO sleepy & weight gain. Norvasc gave me flushing, hot ears, etc initially at the 5 mg. Going to 10 really upped side effects. Edema but the racing heart and high pulse! Really bad. Didn't realize it was this medicine. Now at 5 mg plus generic coreg for 1 wk then off norvasc & back to coreg until heart calms down. I also agree drs never want to say it's the medicine. Thing is every bp med has bad side effects- just which is lesser of evils. Awful.",2
NORVASC,moderate high blood pressure,{'I have slept very little for years despite being being a runner. Now I am sleeping well every night. It is such a relief.'},None,4
NORVASC,High Blood Pressure,{''},"Norvas works, but it does cause fatigue, lack of motivation, low sex-drive, mild weight gain. It also affects the memory & causes mental fogginess.",3
NORVASC,HP,{''},"Back and leg pain for about two weeks then I woke up one morning, my feet and ankles were Extremely swollen. Stopped taking the meds 2 days later felt great, I didn't realize that it was making me tired and deprresed also.",2
NORVASC,Hypertension,"{'Seemed to help drop my bp from 180/200 over 110 to 150/160 over 80,I also take 100mg of Lopressor/metoprolol.Im not giving up on it yet.Ive hade high bp since I was 17yrs old'}","At first dizzines,tight muscles across shoulders,cold feet when sitting around,dry eyes.",3
NORVASC,Hypertension,"{""My doctor prescribed this because my BP was up to 170/100 and taking Metoprolol, 100 mg twice daily, wasn't helping. Now my BP is down to 95/65 and I'm exhausted. It takes everything I have to climb a set of stairs at work and I'm winded when I get up them.\nI was going to the gym 3-4 days a week; now I never go. I'm too fatigued.""}",Extreme fatigue. Dry mouth. Depression. Muscle cramps.,2
NORVASC,bp,{''},"really feeling terrible, just not right is the best way I can describe it, physically and mentally. I actually get depressed on it, started crying for no reason, joint pain, aches. This medication for me, is shit",1
NORVASC,,{''},Chest pain,1
NORVASC,Hypertention,"{""I'm weaning myself off of this medicine.""}","rash on lower extremeties, sinus congestion, joint pain, lack of energy, no sex drive, insomnia",1
NORVASC,New hypertension - 1st time prob BP,{''},"Where to begin? All the sudden tonight HUGE swelling of feet, ankles, & legs...all beet red. Extreme fatigue/brain fog/tiredness. Ended up in ER for 6 straight hours of excruciating check pain right on my heart & received no relief. Irritable & weight gain...much of it water. I am a hardworking, professional single mom who down not have time for this dangerous medicine. Calling dr 1st thing tomorrow to find suitable alternative. This med is TERRIBLE!",1
NORVASC,high bp,"{""I am going to go back to just two a day and see how things go, obviously checking my BP while cutting back. I'd rather NOT have my legs swollen but I don't want BP issues either.""}","At first I was just taking it twice per day, but since it wasn't helping that much, my Dr told me to start taking two in the a.m. and one in the evening. NOW, my legs are swollen from the knee down (I have to keep pulling my jean legs down every time I get up from a seated position) and my ankles are swollen. After spending about 5 hours on my feet running a leaf blower, I developed a very bright red rash around the top of my left ankle; didn't itch and it wasn't bumpy. This was about 12 days ago and it is still faintly visible in a pretty pink. Until reading these comments I didn't connect it to the Norvasc.
I wonder if the REAL Norvasc instead of the generic would do the same thing?",1
NORVASC,hbp,{''},Extreme anger to the point of wanting to do bodily harm!!! Face very red and hot. I feel as if the inside of my head is on fire!!! Swelling of hands and feet. Leg pain and very tired!!!!!,1
NORVASC,High Blood Pressure,{''},"This medication causes fatigue, some confusion, headaches, and low libido; not to mention lack of motivation. It does work though.",4
NORVASC,Hypertension,{'It should be taken off the market.immediately!'},"Extreme swelling in legs, ankles and feet. After two years I had so much trouble walking I was ready to sit in a wheelchair.
My doctor would not take me off the medication. I saw another cardiologist in our summer home in VT who put me on another calcium channel blocker and the swelling has gone down almost completely and I feel like a new woman.",1
NORVASC,"& BENICAR HCT, high blood pressure",{''},"Swelling of ankles, general muscle aches, pain in both arms and legs, tired all the time, mentally slow, within a day or two I have a lot more energy, no muscle pain and think more quickly and clearly! My BP remains low by taking a product called TIKVA, works great to lower BP and counter PAD and Atherosclerosis, I take it with Naicin and Salmon oil pills",1
NORVASC,High Blood Pressure,"{'If this were any product except for pharma, it would have been removed from the market as dangerous. It is shameful that something like this is approved. I am also suspicious of the lowering of values that allows them to promote administrating HBP meds to an ever increasing population. It seems to be more marketing than health related.'}","Most disturbing was the swelling of my fee and aching legs, but also headache, cough, and bleeding gums",1
NORVASC,Hypertension,"{'Please pay attention to your body when taking NORVASC, if you begin having memory issues, lack of concentration, fatigue which leads to irritability and mood swings NORVASC is the culprit, not let anyone tell you differently.'}","When I was younger I didn't experience many side effects beyond occasional foot cramping, ankle and hand swelling but the last six years I have been fatigued, lacked concentration, memory problems and couldn't put my finger on the problem. I went on vacation and forgot the NORVASC, and after 3 days I felt like my old self again after six years. I asked my doctor to change the medicine and she had the nerve to want to add an additonal medicine but not take me off of NORVASC. I have a new doctor now!",1
NORVASC,HBP,{''},"Has anyone had stomach pain, acid reflux and severe chest pains from taking norvasc. It's like a crushing pain in the chest and it goes up to the throat. If this has happened to anyone else please let me know. It started when I begin taking the medicine.",2
NORVASC,hypertension,{''},bp lowered only to borderline but edema in feet and ankles is painful and gross.,3
NORVASC,high bp,"{'it has lowered my bp to a great number, 120/75 from 145/90.'}",dosage was reduced to 2.5 mg due to rt leg and ankle swelling.,3
NORVASC,blood pressure/gerd,{'would never suggest it to anyone!'},"on 18th day started feeling like i had quad and hammy pulls, then the next day my waist and below were so swollen i ended up in er not being ab.le to walk and in severe pain. ER Doc had no clue afetr batteries of tests and sent me home! Went to my doc next day and decided to go to 2.5 mg... waiting here with my legs swollen and painful to see if the 2.5 helps....",1
NORVASC,hypertension,{''},"Worked well at first, lowered my pressure very nicely. About 2 months after starting the medication, I felt tightness in my calves and a blotchy, non raised, no symptom rash between my knees and ankles. I am an RN, so I ruled out the obvious bad stuff, tried fungal and hydrocortisone creams with no change. Researched on the Internet and sure enough, found others with the same symptoms. Rash disappeared once I stopped taking this medication. My MD was perplexed, as was my pharmacist. Told them you learn something new every day! On lisinopril/hctz 40/25, with no further issues and good control of my pre-stage1 hypertension. Found taking klonopin throughout the day too helps keep pressure nice and low as well.",1
NORVASC,High Blood Pressure,"{'I have always had a very alert mental attitude, but now it seems to be too much trouble to think clearly. Mental confusion. Instead of being a leader as I always was, I feel like a child being led.'}","Side effects didn't start immediately. In the last wo months I have extreme swelling in legs and ankles with red splotches, insomnia, going to bathroom every night every hour or so, numbness in one leg and hand, cough, so tired I feel I can't do anything, depression, weight gain, headache, stomach problems among other horrible feelings. I have a day job and don't think I'm going to be able to continue working unless something changes. I'm going to see my doctor this morning and hopefully get off this poison.",1
NORVASC,high blood pressure,{'no side effects discussed by pharmacist nor doctor'},"both lower legs swollen,ankles size of baseballs",1
NORVASC,High Blood Pressure,{''},"6'1 182lbs. Stressing for so long etc cause my pressure too go sky high .......First took the medicine felt okay for the first few days, and then noticed side effects such as extreme dizzy , light headness,tingle in body (arms/legs/chest). About weeks in the medicine it was on an off things nothing that lasted long. Until one day felt so dizzy need to go too ems and their told me to stop taking the medicine. I contact my doctor and he told me to take half the pill which I have and then went back to whole pill.As of Sunday just felt off just foggy in thoughts,lighthead, and some what feeling like throwing up, but did not. I can handle the effects and know it takes time even months for your body to adjust.",3
NORVASC,hypertension,{'Who does this drug benefit?'},"Swollen ankles, dry mouth, racing heart, stomach and back pain, severe leg cramps, night sweats, anxiety",1
NORVASC,High blood pressure,"{'Don\'t listen to any physician who tells you that ""I\'ve never heard of psychiatric side effects"". Instead, read the many comments on this - and other - websites. So many folks cannot be wrong.'}",Anxiety; paranoia.,3
NORVASC,hpb,{'Finally realized that norvasc is the culprit!'},"weight gain, night sweats,tingling in extremeties, back pain, joint pain an anxiety",1
NORVASC,"high bp, hypertension",{''},"Flushing, tightness in head and chest, headache and extreme upper back pain which came on mid afternoon and was gone the next morning, these symptoms after about the second day on the med which made me decide to continue as they were mild enough to deal with...on the 14 day woke up in the middle of the night with swollen gums on one side of my mouth, top and bottom, very painful....have been off the drug three days and all other side effects have lessened but my gums are still bad and I am on Biaxin for what is supposed to be an infection...the Biaxin seems to have made the pain worse. I would say Norvasc or the generic which is what I am taking,(Amolopidine) should be used with caution, my brother on it and no problems and we are genetically almost twins and have basically the same tolerence for meds, so I am puzzled. I am hoping that the gum problem resolves soon and hope that the dental surgeon that I see on Friday who is also an MD knows something about Norvasc. The PA that presc",1
NORVASC,HTN,{''},"WARNING! This drug precipitated a severe and rare form of migraine called vestibular migraine. I developed dizziness and racing heart 3 days after starting. I split the dose into 2.5mg twice daily with no change in symptoms. I stopped after 6 days and the dizziness eventually evolved into vertigo, brain fog, dizziness, head motion sensitivity, photo and phonophobia (i.e., a full blown migraine syndrome. One year later I am still sick and I have no history of migraine, or clues to a low migraine threshold (sound,motion, light, odor sensitvity, or Hx of HAs). This drug has ruined my life. I hope I can recover. I have seen other posts regarding this drug and propensity to cause migraine, and vertigo. You must be careful with calcium antagonists as they have far reaching effects in the human body. I would appreciate anyone's comments about this drug.",1
NORVASC,Spikes in blood pressure,{''},Slight dizzy spell in one afternoon. Some weight gain but. Not. Sure if it is from norvasc,5
NORVASC,High Blood Pressure,"{'I have been taking this for 9 months. The side effects were worse at first, but now have lessened somewhat. I tried to go up tp 5mg because my BP was still spiking to 150/100 at least once a day, but it caused extreme vertigo and dizziness, so I had to back off. Now a few months later, I am trying 5mg again, split up into two doses of 2.5 mg taken 12 hours apart. This seems to make it easier, I have been on the increased divided dose for four days now and so far no vertigo. The side effects are mild enough for me that I am still taking it as of now.'}","Flushing, swollen and bleeding gums, burning mouth feeling, anxiety. At higher doses, extreme vertigo and dizziness.",3
NORVASC,Blood pressure,{''},"Look!! These are side effects
Of blood pressure meds. Alot of these effects are mind over matter. There not life threatening for god sakes. Just take it. I take it and yes it makes my feet tingle
And my hands tingle and my face too. Take it at night so tou dont feel
The effects during the day. Im a
A paramedic myself and know what the effects are.. thats the side effects so deal with it !!",4
NORVASC,High blod pressure,"{'I am a pharmacist and I am reading this blog due to a patient that came into my store today, muscle aches/leg cramps are due to water pills/diuretics. Fatigue is due to beta blockers, Norbert causes edema, thats it people!... Make sure your consult your. Dr before you have hundreds of people stopping there medication!'}",,5
NORVASC,blood pressure,{''},"Ankle swelling, pain, dry eyes, skin dryness",1
NORVASC,Hypertension,{''},"norvasc doesn't even work to lower my 148/86 blood pressure. makes me very tierd (fatigue) all day, even when I take 12hour sleep.",1
NORVASC,Bp,{''},After taking this Rx for 7 mos. I had a severe reaction. My tongue swelled up and I was transported by ambulance to the hospital.,1
NORVASC,HBP- recent weight gain,{''},My calves bacame so sore I could barely walk. One night I had t just sit because I felt a tightning in my chest. My doc told me to take a half pill so basically I had taken 2.5 mgs. i am not going to use this medication again and just try to meditate and eliminate my stress naturally.,2
NORVASC,HTN,{''},"About 2-3 weeks after starting drug, developed tingling in arms and legs, chest pressure and feeling of passing out--first time while driving!! After that day, DAILY fatigue, chest pressure/pain, EXTREME dizzyness to the point of non function. Nauseated and headaches. Had EVERY less common, most extreme side effect. Went to ER at one point and all cardiac tests normal. Went back to my Dr and stopped this NASTY drug. BP still normal off it, and slowly feeling better (half life of this drug 50+ hours!!! so even when u stop, takes a while to rid from your system!!!) Be AWARE of what ur putting in your body",1
NORVASC,Hypertension,"{'I think this website just saved my life, or at least my sanity. Nearly 500 anecdotal reports, mostly describing the range of as yet unexplained symptoms I have been having for the last 2 years must bear some significance. Like others I have been CT scanned, tested for blood clots and lupus and all tests have been negative. I also experienced ""rare"" intestinal angioedema and 5 hospitalizations due to lisinopril about 10 years ago. Although Norvasc and ACE inhibitors have different mechanisms edema is a shared outcome. I do not believe these side effects are as ""rare"" as physicians seem to often think and as one person noted on this site Rx list and other Pharma driven sites/resources downplay them. Gotta be your own health advocate! As with lisinopril I am pretty sure the symptoms will decline upon discontinuation of the drug. I am going to do that experiment'}",Pitting edema( especially of left knee and calf); neuropathy left leg;constipation and abdominal pain/swelling; facial flushing; swelling redness hands and feet; depression & decreased concentraion; insomnia,1
NORVASC,high blood pressure,{''},hideous foot swelling resulting in a broken foot stress fracture. Constipation not controlling spikes at all.,2
NORVASC,Hypertension,{'This medication works very well for me! One must remember everyone has a different reaction to medications! This was the first medication I was given for my hypertension and it turned out to work well for me.'},A small amount of ankle swelling and leg cramps at the start of taking this medication along with 10-15pounds of weight gain!,5
NORVASC,High blood pressure post-transplant,"{""I wasn't 100% sure the anxiety attacks were from this, but seeing other people's comments, I'm pretty certain now. They definitely started when I started the drug. Short but frequent 30-second anxiety attacks about all sorts of random things.""}","This drug sucked. Didn't lower my BP of 155/100, maybe because I was at lowest dose. However even on lowest dose I sweat like a little piggy in the night and freaky anxiety attacks.",1
NORVASC,high blood pressure,"{""It lowered my blood pressure, but so would have increasing my Lisinopril. It made it so I couldn't exercise. I like to walk/run for cardiovascular exercise and the muscle fatigue in my legs made it so I couldn't even climb stairs. When I complained, the doctors took me off the Lisinopril and gave me 10 mg. of norvasc.""}","Depression, panic attacks, weight gain, muscle fatigue, edema. My friend was also on it. His legs swelled up until they cracked open with sores.",1
NORVASC,hypertension,"{""One thing I didn't see anyone mention is: My blood pressure runs from low 100s over 50s - sometimes 60s, which seems too low to me.""}","I first was on Caduet - didn't seem to have any problems for sometime. Then, I started with the ankle/lower leg swelling. I have arthritis in my back, so when the back pain started, I attributed it to that. But, then I got to the point where everything in my body hurt - shoulders, knees, elbows, wrist, you name it. Some days were better than others - thanks to over-the-counter pain meds. Couldn't walk very far without pain and weakness - had to sit down and recover before I could continue. Until I read this blog, I just thought it was age - or something worse, but now I think I'm going to talk to my doctor about Norvasc - I'm now on the generic (5 mg) and 10 mg of lipitor, which might also be a culprit. Plan to have a chat with my Dr. when I see him tomorrow.",2
NORVASC,I am taking Norvsac and for HBP,{''},,3
NORVASC,BP,{''},"Almost immediately after starting generic version of NORVASC my gums started to swell and bleed. My hygienist noticed it on my last two appointments. Never had this problem before. I added a bacteria fighting rinse to my dental cleaning routine and that has not helped. I told my GP, she said only 1% of people on drug have this issue--told me to wait. I waited a month and now gums are worse. I messaged doctor today, said I want off of Norvasc. Also have gained 12 lbs. since being on drug.",2
NORVASC,Hbp,{''},No side effects except weight loss. Bp is down as is pulse rate.,5
NORVASC,High Blood Pressure and MVP,"{'Was given Norvasc for high BP, after 1 week most side effects subsided except the heart palpitations, rapid heartbeat, chest pain and shortness of breath. It was the shortness of breath that made me stop this drug cold turkey. I have been off of it 6 days now and my BP is better than it was when I was on Norvasc. It was a wicked drug for me.'}","headaches, dizziness, blurred vision, heart pounding/palpitations, chest pain, shortness of breath",1
NORVASC,high blood pressure,{''},"Initially started on 5mg...blood pressure stayed very high, 140/100. Changed to 10mg...almost passed out once and couldn't drive myself to work. Now I cut pills to get a 7.5 mg dose. Great for my blood pressure...had to stop previous beta blocker meds due to dry eyes. But as of today...swollen ankles with red dots all over them. Just got back from vacation, did hours of walking and standing yesterday...will go to walk in clinic tomorrow but am guessing it is due to generic form of NORVASC",4
NORVASC,high blood pressure,{''},"I feel so much better! I have no more shortness of breath or hot flash and my headaches are gone.. my eyes are a little dry but I can handle that. I feel good, really good!",5
NORVASC,BP,"{'I went of micardis due to side effects, and this initially lowered my BP down from 150-160/90-105 to 130-140 / 85-95.'}","heavy night time urination, dry mouth, tiredness, depression, feeling like my skin temp is really high,",2
NORVASC,"High Blood Pressure, Angina",{''},"Chest pain, stomach pain, lack of appetite, chest congestion and cough, palpitations, achiness like the flu without fever, headache, flushing. Wow, this drug does not make me feel good at all. Looked up the side-effects after taking it a few days and these are all listed.",1
NORVASC,High Blood Pressure,{''},"Swelling of legs and feet, bright red itchy rash, difficulty walking",1
NORVASC,High Blood Pressure/Tachycardia,"{""I started taking Norvasc at around 20 years of age for high blood pressure/tachycardia, which was diagnosed after I was seen for repeated headaches. I started doing research about a month ago as I was tired of waking up literally sticking to my sheets EVERY morning. I had testing done on my thyroid, hormones, etc to figure out why I was having such extreme night sweats. I went to my PCP and discussed with her that the night sweats were a source of frustration for me and explained how I was concered about the above mentioned side effects that I was experiencing as possible side effects of the Norvasc. She agreed to switch me to Lisinopril 5mg to try and see what happened. About 2 weeks later, I haven't had but one migraine (compared to almost daily migraines), my joints feel better. I am still tired during the day and still have night sweats, but these are better as well. I had Botox for my migraines and I'm a little ticked that I stuck needles in my face to try and help decrease my migraines, when in fact it was a medication I was taking that was causing the migraines. During the time of taking Norvasc, I was on SEVERAL other medications for fibromyalgia, including NSAID's daily, muscle relaxers at night, pain medication as needed as well as physical therapy, a TENS unit, Lidoderm patches, etc, etc. Once I stopped taking the Norvasc, my body aches and pains have pretty much gone away and I only take medication when needed-I do have a mild auto immune disorder like fibromyalgi""}","Migraines, body aches, EXTREME night sweats and unusual sweating, high and low BP, daytime tiredness, insomnia, etc, et.",1
NORVASC,hypertension,{'Keeps bp around 118/76.'},Slight edema in feet and ankles at night. Petecheia.,4
NORVASC,minimal high blood pressure,{''},"I have fibromyalgia it was under control until I took norvasc (generic) my skin is tender to touch, legs ache, RLE last night, insomina, joints ache, I will not take it again!!!",1
NORVASC,High Blood Pressure,"{""At first, I didn't have any symptoms. My doctor didn't want to put me on HCTZ because my calcium levels were high. But I called today to tell her all of the side effects I was having from it. I am also on Metformin and I usually don't have a big appetite. But on this stuff, it made me feel like I could never get full. I was really, really hungry. Thank God my doctor has taken me off of this stuff and is letting me take the HCTZ again. I will have my blood monitored soon to see how my calcium levels are doing. No problem with the potassium; I already know what to eat to make sure I get enough of that. I am so looking forward to not having to take this tomorrow.""}","Insomnia, racing heart, dizziness, somnia, lethargy, ravenous appetite, nausea, headaches.",2
NORVASC,High Blood Pressure,"{'I am only 24 years old experiencing these things. My blood pressure has not improved at all, while my heart rate can reach threatening levels. I have to get off this medicine.'}","I kept experiencing random side effects, and sometimes just brushed them off. Then the past two weeks, my ankles have swelled and bruised so badly that my family were the first to notice! I thought about it and started to google more indepth side effects. I've been experiening severe anxiety and depression somedays, while others I feel mentally very happy. On the anxiety days, I feel cloudy and not like myself. I have also experienced tingling in my fingers and toes, joint paint in the elbows, stomach pain, and inner ear discomfort.",1
NORVASC,hbp,{''},none but it does not keep my bp down I have spikes,2
NORVASC,HBP,"{""The first year or so, I didn't notice many changes, except that it made me tired, so I took it before bed. The last few months have been horrible! Waking up ALL night long, tossing, uncomfortable, night sweats, dry mouth, having to pee all night long. By the process of elimination, I discovered it was the norvasc causing this! As soon as I stopped taking it I slept for THREE hours before having to pee, then fell right back to sleep! That felt great for someone who hasn't had a good night's sleep in months! I believe our bodies become immune to certain meds after awhile. I had a similar problem with crestor--terrible muscle pain in my legs-so bad, I couldn't walk one day! I stopped taking it, pain went away. I'm sleeping much better now that I've stopped the norvasc. BP hasn't changed much, either, taking only tenormin now--still a little dry mouth at night, but not as bad as with norvasc. Check with your DR and see if you might need to take a break from your med, or get on a new one.""}","VERY dry mouth, especially while trying to sleep, insomnia, waking up to urinate every hour to half hour, slight headache, night sweats.",1
NORVASC,high blood pressure,"{'Have tried combination drugs such as Diovan HCT that had norvasc in it. Had painful legs. Drug worked for 6 yrs and decided to stop, Tried other drugs with Norvasc in them and same type effects, muscle pains.'}","Went to the ER because I could not get blood pressure down with any other drugs. Cardiologist was called by phone, never seeing me, and prescribed 100mg with 5mg Besylate. Heart pounds terrible and pulse stays 98 to 112, bp down to 138/88, chills when lying around, short of breath. Hope to get off of this Monday morning",1
NORVASC,hypertension,{''},head pressure neck pressure dizzyness lethargic,1
NORVASC,high blood pressure,"{'My Dr. recommended Norvasc as an alternative to Zestril which I had been taking for a long while but was experiencing hair loss. Had expected Norvasc dosage to be increased from 2.5mg to 5 mg within two weeks for blood pressure control however with side effects I experienced on 2.5mg (which included my Dr sending me to Hospital Emergency), it was decided that I was not a candidate for Norvasc. Taking Atacand now which seems to be working for me without any major side effects.'}","pronounced heart palpitations, racing heart beat, night sweats, some dizziness and the need to drink liquids more than usual",1
NORVASC,High Blood Pressure,{''},I took this drug for about 2 to 3 days. I had chest pains that came and went and i felt a numbness in my arms and legs. I took myself off since i was only on for a few days. Side effects disappeared and havent felt this way since.,1
NORVASC,HBP,{''},"After taking for 13 days, I began having severe chest tightening, shortness of breath and legs that felt like cement. Since I usually walk or hike several miles a week I now cant walk to get my mail w?o feeling like Im 90yrs who smokes 4packs aday! I just hope it goes away its been6 days and no sign of improvement.",1
NORVASC,Hypertension,{''},"Did very little for my BP, brought the systolic down from ~140 to ~130 mmHG. I saw the cardiologist 11 days after taking it, he did not see any side effects - neither did I - and told me to keep on taking it. After 21 days I started to develop Elephants feet so I quit taking it.",2
NORVASC,hypertension,{''},"I wrote on Feb. 19, reporting severe swelling/rash in both legs while on Norvasc 10 mg. My doctor decreased dosage to 5 mg. I should have mentioned that I've been on Altace/HCT 20 mg. for about 10 years. When Norvasc was added, I noticed increased dizziness, anxiety and pounding heart. What really scared me was, two days ago, after working out, I came very close to blacking out! I've also had a persistent cough and a slight burning feeling in my chest, which has become worse over the past few days. I decided to stop taking Norvasc today, and lo and behold, my cough has subsided, and I have no dizziness or pounding heart. This stuff is nasty. I guess I'll have to visit my doctor again for an alternative and in the meantime continue my diet and fitness regimen.",2
NORVASC,,{''},"was ok, for a while, taking it reduced my b/p somewhat, but not below 120/78 in the whole time, even had the Norvasc raised to 10 mg., due to the b/p being up 160/100 or so, and then it came down somewhat, but now on the 5 mg again, and the b/p is better, but the flushing has started, and my anxiety is awful.
I worry about everything. And that doesn't help. Today my b/p was 160/92.when my b/p is high, my nerves bother me more.
I have taken Daizepam for my nerves, 5 mg. but that only makes things worse. Is it the Norvasc (generic), or both.
I am beginning to think this is not a good drug. I have chills when I am resting in the evenings, and fall asleep easily. I walk as often as I can..,and cleaning around the house, I tire very easily.
would like to know if anyone else has this problem.
Any suggestions? I want to get off it totally.",2
NORVASC,High blood pressure,{'Greatly reduced my bp from 185/110 to 119/73. It also prevents angina and heart attacks and given that my father had an attack this is a wonder pill for me. Was on bendroflumezide diuretic before amlodipine but it only got it to 150'},No side effects,5
NORVASC,son is on dialysis and used for HBP,"{'Now , since dynacirc was denied and amlodipine used, he entered the hospital the following week ,with possible macular damage and a total new set of meds for his HBP.'}",He had been on Dynacirc for the last 4 years but Medicare prescription did not allow it (my private no longer covered him ). Within a week he was in ER for high blood pressure and blurred vision ( even after dialysis ). Doctors discontinued amlodipine immediately,1
